election_id,sub_id,vote_type,party_id,party_label_ka,party_code,district_id,district_name_ka,list_order,ballot_number,first_name,last_name,name_ka,partisanship,elected,source
local_2014,__main__,council_smd,nonparliamentary_opposition_2014,"არასაპარლამენტო ოპოზიცია (კახა კუკავა, ფიქრია ჩიხრაძე)",,101,მთაწმინდა,,1,ნინო,ბორჩხაძე,ნინო ბორჩხაძე,,,adg_2014_candidates_unified_corrected.xlsx
local_2014,__main__,council_smd,unity_hall_2014,ერთიანობის დარბაზი,,101,მთაწმინდა,,17,თენგიზი,გოგორიშვილი,თენგიზი გოგორიშვილი,,,adg_2014_candidates_unified_corrected.xlsx
local_2014,__main__,council_smd,georgias_way_2014,სალომე ზურაბიშვილი - საქართველოს გზა,,101,მთაწმინდა,,18,თეონა,ბექაური,თეონა ბექაური,,,adg_2014_candidates_unified_corrected.xlsx
local_2014,__main__,council_smd,labour,შალვა ნათელაშვილი - საქართველოს ლეიბორისტული პარტია,,101,მთაწმინდა,,20,ედვარდ,მაისურაძე,ედვარდ მაისურაძე,,,adg_2014_candidates_unified_corrected.xlsx
local_2014,__main__,council_smd,sakhalkho_party_2014,სახალხო პარტია,,101,მთაწმინდა,,26,გიორგი,ფესვიანიძე,გიორგი ფესვიანიძე,,,adg_2014_candidates_unified_corrected.xlsx
local_2014,__main__,council_smd,burjanadze_united_opposition_2014,ნინო ბურჯანაძე - ერთიანი ოპოზიცია,,101,მთაწმინდა,,3,გურამ,ფალავანდიშვილი,გურამ ფალავანდიშვილი,,,adg_2014_candidates_unified_corrected.xlsx
local_2014,__main__,council_smd,workers_council_2014,საქართველოს მშრომელთა საბჭო,,101,მთაწმინდა,,36,გურამ,კოპაძე,გურამ კოპაძე,,,adg_2014_candidates_unified_corrected.xlsx
local_2014,__main__,council_smd,gd,ქართული ოცნება,,101,მთაწმინდა,,41,ჯაბა,ჯიშკარიანი,ჯაბა ჯიშკარიანი,,,adg_2014_candidates_unified_corrected.xlsx
local_2014,__main__,council_smd,unm,ერთიანი ნაციონალური მოძრაობა,,101,მთაწმინდა,,5,დავით,ავალიანი,დავით ავალიანი,,,adg_2014_candidates_unified_corrected.xlsx
local_2014,__main__,council_smd,greens_2014,გიორგი გაჩეჩილაძე - მწვანეთა პარტია,,101,მთაწმინდა,,6,ირაკლი,გაგნიძე,ირაკლი გაგნიძე,,,adg_2014_candidates_unified_corrected.xlsx
