election_id,sub_id,vote_type,party_id,party_label_ka,party_code,district_id,district_name_ka,list_order,ballot_number,first_name,last_name,name_ka,partisanship,elected,source
local_2014,__main__,mayor,nonparliamentary_opposition_2014,"არასაპარლამენტო ოპოზიცია (კახა კუკავა, ფიქრია ჩიხრაძე)",,171,თელავი,,1,გიორგი,მოსიაშვილი,გიორგი მოსიაშვილი,,,adg_2014_candidates_unified_corrected.xlsx
local_2014,__main__,mayor,labour,შალვა ნათელაშვილი - საქართველოს ლეიბორისტული პარტია,,171,თელავი,,20,ქეთევან,ზაქარიაშვილი,ქეთევან ზაქარიაშვილი,,,adg_2014_candidates_unified_corrected.xlsx
local_2014,__main__,mayor,burjanadze_united_opposition_2014,ნინო ბურჯანაძე - ერთიანი ოპოზიცია,,171,თელავი,,3,თამაზი,არჯევანიძე,თამაზი არჯევანიძე,,,adg_2014_candidates_unified_corrected.xlsx
local_2014,__main__,mayor,gd,ქართული ოცნება,,171,თელავი,,41,პლატონი,კალმახელიძე,პლატონი კალმახელიძე,,,adg_2014_candidates_unified_corrected.xlsx
local_2014,__main__,mayor,unm,ერთიანი ნაციონალური მოძრაობა,,171,თელავი,,5,ალექსი,ძულიაშვილი,ალექსი ძულიაშვილი,,,adg_2014_candidates_unified_corrected.xlsx
local_2014,__main__,mayor,greens_2014,გიორგი გაჩეჩილაძე - მწვანეთა პარტია,,171,თელავი,,6,ნოდარ,მუმლაური,ნოდარ მუმლაური,,,adg_2014_candidates_unified_corrected.xlsx
local_2014,__main__,mayor,patriots,დავით თარხან-მოურავი - საქართველოს პატრიოტთა ალიანსი,,171,თელავი,,8,ზაზა,დევიძე,ზაზა დევიძე,,,adg_2014_candidates_unified_corrected.xlsx
local_2014,__main__,mayor,nonparliamentary_opposition_2014,"არასაპარლამენტო ოპოზიცია (კახა კუკავა, ფიქრია ჩიხრაძე)",,20,რუსთავი,,1,ალექსანდრე,ბერიძე,ალექსანდრე ბერიძე,,,adg_2014_candidates_unified_corrected.xlsx
local_2014,__main__,mayor,our_georgia_2014,ჩვენი საქართველო,,20,რუსთავი,,12,ერასტი,კიწმარიშვილი,ერასტი კიწმარიშვილი,,,adg_2014_candidates_unified_corrected.xlsx
local_2014,__main__,mayor,georgias_way_2014,სალომე ზურაბიშვილი - საქართველოს გზა,,20,რუსთავი,,18,ალექსანდრე,კობაიძე,ალექსანდრე კობაიძე,,,adg_2014_candidates_unified_corrected.xlsx
local_2014,__main__,mayor,labour,შალვა ნათელაშვილი - საქართველოს ლეიბორისტული პარტია,,20,რუსთავი,,20,რევაზ,რიჟამაძე,რევაზ რიჟამაძე,,,adg_2014_candidates_unified_corrected.xlsx
local_2014,__main__,mayor,burjanadze_united_opposition_2014,ნინო ბურჯანაძე - ერთიანი ოპოზიცია,,20,რუსთავი,,3,კობა,ძლიერიშვილი,კობა ძლიერიშვილი,,,adg_2014_candidates_unified_corrected.xlsx
local_2014,__main__,mayor,gd,ქართული ოცნება,,20,რუსთავი,,41,დავითი,ჯიქია,დავითი ჯიქია,,,adg_2014_candidates_unified_corrected.xlsx
