"file","level","status","exact","order_ok","n_missing","n_extra","missing","extra","signature"
"local2014_2016_may_byelection_smd_precincts.csv","precinct","DRIFT",FALSE,FALSE,3,1,"selfgov_id|party_num|round","raw_district_id","precinct_id,precinct_key,district_id,raw_district_id,precinct_number,party_id,name_ka,votes,vote_share,registered,voted,voted_noon,voted_5pm,turnout_pct,noon_pct,five_pct,invalid_ballots,invalid_pct"
"local2014_2016_oct_byelection_council_smd.csv","district","DRIFT",FALSE,FALSE,1,0,"party_num","","district_id,party_id,name_ka,round,votes,registered,voted,voted_noon,voted_5pm,main_list,special_list,invalid_ballots,vote_share,turnout_pct,noon_pct,five_pct,invalid_pct"
"local2014_2016_oct_byelection_council_smd_precincts.csv","precinct","DRIFT",FALSE,FALSE,3,1,"selfgov_id|party_num|round","raw_district_id","precinct_id,precinct_key,district_id,raw_district_id,precinct_number,party_id,name_ka,votes,vote_share,registered,voted,voted_noon,voted_5pm,turnout_pct,noon_pct,five_pct,invalid_ballots,invalid_pct"
"local2014_2016_oct_byelection_smd.csv","district","DRIFT",FALSE,FALSE,1,0,"party_num","","district_id,party_id,name_ka,round,votes,registered,voted,voted_noon,voted_5pm,main_list,special_list,invalid_ballots,vote_share,turnout_pct,noon_pct,five_pct,invalid_pct"
"local2014_2016_oct_byelection_smd_precincts.csv","precinct","DRIFT",FALSE,FALSE,3,1,"selfgov_id|party_num|round","raw_district_id","precinct_id,precinct_key,district_id,raw_district_id,precinct_number,party_id,name_ka,votes,vote_share,registered,voted,voted_noon,voted_5pm,turnout_pct,noon_pct,five_pct,invalid_ballots,invalid_pct"
"local2014_2016_oct_mayor_byelection_r2_smd.csv","district","DRIFT",FALSE,FALSE,0,0,"","","district_id,party_id,party_num,name_ka,round,votes,registered,voted,voted_noon,voted_5pm,main_list,special_list,invalid_ballots,vote_share,turnout_pct,noon_pct,five_pct,invalid_pct"
"local2014_2016_oct_mayor_byelection_r2_smd_precincts.csv","precinct","DRIFT",FALSE,FALSE,2,1,"district_id|round","raw_district_id","precinct_id,precinct_key,selfgov_id,raw_district_id,precinct_number,party_id,party_num,name_ka,votes,vote_share,registered,voted,voted_noon,voted_5pm,turnout_pct,noon_pct,five_pct,invalid_ballots,invalid_pct"
"local2014_2016_oct_mayor_byelection_smd.csv","district","DRIFT",FALSE,FALSE,0,0,"","","district_id,party_id,party_num,name_ka,round,votes,registered,voted,voted_noon,voted_5pm,main_list,special_list,invalid_ballots,vote_share,turnout_pct,noon_pct,five_pct,invalid_pct"
"local2014_2016_oct_mayor_byelection_smd_precincts.csv","precinct","DRIFT",FALSE,FALSE,2,1,"district_id|round","raw_district_id","precinct_id,precinct_key,selfgov_id,raw_district_id,precinct_number,party_id,party_num,name_ka,votes,vote_share,registered,voted,voted_noon,voted_5pm,turnout_pct,noon_pct,five_pct,invalid_ballots,invalid_pct"
"local2014_2016_oct30_byelection_council_smd.csv","district","DRIFT",FALSE,FALSE,1,0,"party_num","","district_id,party_id,name_ka,round,votes,registered,voted,voted_noon,voted_5pm,main_list,special_list,invalid_ballots,vote_share,turnout_pct,noon_pct,five_pct,invalid_pct"
"local2014_2016_oct30_byelection_council_smd_precincts.csv","precinct","DRIFT",FALSE,FALSE,3,1,"selfgov_id|party_num|round","raw_district_id","precinct_id,precinct_key,district_id,raw_district_id,precinct_number,party_id,name_ka,votes,vote_share,registered,voted,voted_noon,voted_5pm,turnout_pct,noon_pct,five_pct,invalid_ballots,invalid_pct"
"local2014_2016_oct30_byelection_smd.csv","district","DRIFT",FALSE,FALSE,1,0,"party_num","","district_id,party_id,name_ka,round,votes,registered,voted,voted_noon,voted_5pm,main_list,special_list,invalid_ballots,vote_share,turnout_pct,noon_pct,five_pct,invalid_pct"
"local2014_2016_oct30_byelection_smd_precincts.csv","precinct","DRIFT",FALSE,FALSE,3,1,"selfgov_id|party_num|round","raw_district_id","precinct_id,precinct_key,district_id,raw_district_id,precinct_number,party_id,name_ka,votes,vote_share,registered,voted,voted_noon,voted_5pm,turnout_pct,noon_pct,five_pct,invalid_ballots,invalid_pct"
"local2014_council_smd.csv","district","DRIFT",FALSE,FALSE,1,0,"party_num","","district_id,party_id,name_ka,round,votes,registered,voted,voted_noon,voted_5pm,main_list,special_list,invalid_ballots,vote_share,turnout_pct,noon_pct,five_pct,invalid_pct"
"local2014_council_smd_precincts.csv","precinct","DRIFT",FALSE,FALSE,5,0,"precinct_key|selfgov_id|precinct_number|party_num|round","","precinct_id,district_id,party_id,name_ka,votes,vote_share,registered,voted,voted_noon,voted_5pm,turnout_pct,noon_pct,five_pct,invalid_ballots,invalid_pct"
"local2014_pr.csv","district","DRIFT",FALSE,FALSE,3,0,"party_num|name_ka|round","","district_id,party_id,votes,registered,voted,voted_noon,voted_5pm,main_list,special_list,invalid_ballots,vote_share,turnout_pct,noon_pct,five_pct,invalid_pct"
"local2014_pr_precincts.csv","precinct","DRIFT",FALSE,FALSE,6,0,"precinct_key|selfgov_id|precinct_number|party_num|name_ka|round","","precinct_id,district_id,party_id,votes,vote_share,registered,voted,voted_noon,voted_5pm,turnout_pct,noon_pct,five_pct,invalid_ballots,invalid_pct"
"local2014_pr_selfgov.csv","district","DRIFT",FALSE,FALSE,3,0,"party_num|name_ka|round","","district_id,party_id,votes,registered,voted,voted_noon,voted_5pm,main_list,special_list,invalid_ballots,vote_share,turnout_pct,noon_pct,five_pct,invalid_pct"
"local2014_r2_council_smd.csv","district","DRIFT",FALSE,FALSE,1,0,"party_num","","district_id,party_id,name_ka,round,votes,registered,voted,voted_noon,voted_5pm,main_list,special_list,invalid_ballots,vote_share,turnout_pct,noon_pct,five_pct,invalid_pct"
"local2014_r2_council_smd_precincts.csv","precinct","DRIFT",FALSE,FALSE,5,0,"precinct_key|selfgov_id|precinct_number|party_num|round","","district_id,precinct_id,party_id,name_ka,votes,registered,voted,voted_noon,voted_5pm,invalid_ballots,vote_share,turnout_pct,noon_pct,five_pct,invalid_pct"
