party_label_ka,party_id,appearances,election_ids,label_resolves_to_n_ids
"„დავით თარხან-მოურავი, ირმა ინაშვილი - საქართველოს პატრიოტთა ალიანსი”",patriots,3205,local_2017;local_2021;parl_2020,1
„დავით თევზაძე - საქართველოს მშვიდობისათვის”,peace_georgia_2016,18,parl_2016,1
„დავით ჭიჭინაძე ტრიბუნა - ქდმ“,tribuna,21,adj_2020,1
„დავით ჭიჭინაძე ტრიბუნა - ქდმ”,tribuna,181,parl_2020,1
„დაშნაკცუთიუნ“,dashnaks,19,parl_1919,1
„დემოკრატთა ალიანსი”,democrats_alliance,29,local_2021,1
„ევროპელი დემოკრატები“,european_democrats,24,adj_2024,1
„ევროპელი დემოკრატები”,european_democrats,683,local_2021,1
„ევროპელი სოციალისტები”,european_socialists,313,local_2021,1
„ევროპული საქართველო-მოძრაობა თავისუფლებისთვის“,european_georgia,69,local_2021,1
„ევროპული საქართველო-მოძრაობა თავისუფლებისთვის”,european_georgia,1878,local_2021,1
„ელენე ხოშტარია - დროა”,droa,64,local_2021,1
„ელენე ხოშტარია-დროა“,droa,55,local_2021,1
„ერთიანი ნაციონალური მოძრაობა,unm,1,adj_2008,1
“ერთიანი ნაციონალური მოძრაობა – გამარჯვებული საქართველოსათვის”,unm,193,parl_2008,1
“ერთიანი ნაციონალური მოძრაობა – გამარჯვებული საქართველოსთვის”,unm,75,parl_2008,1
“ერთიანი ნაციონალური მოძრაობა”,unm,1020,local_2010,1
„ერთიანი ნაციონალური მოძრაობა”,unm,2310,adj_2008;local_2021,1
„ერთიანი ნაციონალური მოძრაობა” ჯაბრაილ,unm,1,local_2021,1
„ერთიანობა-ნაციონალური მოძრაობა“,unity,29,adj_2024,1
„ერთიანობა-ნაციონალური მოძრაობა”,unity,16,parl_2024,1
„ეროვნულ დემოკრატიული მოძრაობა“,national_democrats,139,parl_2020,1
„ეროვნულ დემოკრატიული მოძრაობა”,national_democrats,18,local_2017,1
„ეროვნულ-დემოკრატიული პარტია (ედპ)“,ndp_2020,121,parl_2020,1
“ეროვნული საბჭო”,national_council_2010,795,local_2010,1
„ვადამდელი არჩევნები - ერთიანი საქართველო - დემოკრატიული მოძრაობა”,early_elections_coalition,156,local_2021,1
„ზვიად ძიძიგური - საქართველოს კონსერვატიული პარტია”,conservatives,7,parl_2020,1
„ზვიადის გზა - უფლის სახელით”,zviads_way,15,parl_2016,1
