election_id,sub_id,kind,slot,status,file
local_2017,local_2017_r2,runoff,elected,MISSING,src\data\candidates\local_2017_r2_elected.csv
local_2017,local_2017_zugdidi_2018_sakrebulo_smd,by_election,mayor,MISSING,src\data\candidates\local_2017_zugdidi_2018_sakrebulo_smd_mayor.csv
local_2017,local_2017_zugdidi_2018_sakrebulo_smd,by_election,council_smd,MISSING,src\data\candidates\local_2017_zugdidi_2018_sakrebulo_smd_council_smd.csv
local_2017,local_2017_zugdidi_2018_sakrebulo_smd,by_election,elected,MISSING,src\data\candidates\local_2017_zugdidi_2018_sakrebulo_smd_elected.csv
local_2017,local_2017_2019_by_elections,by_election,mayor,MISSING,src\data\candidates\local_2017_2019_by_elections_mayor.csv
local_2017,local_2017_2019_by_elections,by_election,council_smd,MISSING,src\data\candidates\local_2017_2019_by_elections_council_smd.csv
local_2017,local_2017_2019_by_elections,by_election,elected,MISSING,src\data\candidates\local_2017_2019_by_elections_elected.csv
local_2017,local_2017_2019_oct_sakrebulo_by_elections,by_election,mayor,MISSING,src\data\candidates\local_2017_2019_oct_sakrebulo_by_elections_mayor.csv
local_2017,local_2017_2019_oct_sakrebulo_by_elections,by_election,council_smd,MISSING,src\data\candidates\local_2017_2019_oct_sakrebulo_by_elections_council_smd.csv
local_2017,local_2017_2019_oct_sakrebulo_by_elections,by_election,elected,MISSING,src\data\candidates\local_2017_2019_oct_sakrebulo_by_elections_elected.csv
local_2017,local_2017_2020_by_elections,by_election,mayor,MISSING,src\data\candidates\local_2017_2020_by_elections_mayor.csv
local_2017,local_2017_2020_by_elections,by_election,council_smd,MISSING,src\data\candidates\local_2017_2020_by_elections_council_smd.csv
local_2017,local_2017_2020_by_elections,by_election,elected,MISSING,src\data\candidates\local_2017_2020_by_elections_elected.csv
local_2017,local_2017_2020_by_elections_runoff,runoff,mayor,MISSING,src\data\candidates\local_2017_2020_by_elections_runoff_mayor.csv
local_2017,local_2017_2020_by_elections_runoff,runoff,council_smd,MISSING,src\data\candidates\local_2017_2020_by_elections_runoff_council_smd.csv
local_2017,local_2017_2020_by_elections_runoff,runoff,elected,MISSING,src\data\candidates\local_2017_2020_by_elections_runoff_elected.csv
local_2021,,main,pr,present,src\data\candidates\local_2021_pr.csv
local_2021,,main,council_smd,present,src\data\candidates\local_2021_council_smd.csv
local_2021,,main,mayor,present,src\data\candidates\local_2021_mayor.csv
local_2021,,main,elected,present,src\data\candidates\local_2021_elected.csv
local_2021,local_2021_r2,runoff,mayor,MISSING,src\data\candidates\local_2021_r2_mayor.csv
local_2021,local_2021_r2,runoff,council_smd,MISSING,src\data\candidates\local_2021_r2_council_smd.csv
local_2021,local_2021_r2,runoff,elected,MISSING,src\data\candidates\local_2021_r2_elected.csv
