"precinct_id","district_id","party_id","votes","vote_share","registered","voted","voted_noon","voted_5pm","turnout_pct","noon_pct","five_pct","invalid_ballots","invalid_pct"
1003,1,"gd",295,0.478896,1481,644,203,523,0.434841,0.13707,0.35314,28,0.043478
1003,1,"georgia_2016",2,0.003247,1481,644,203,523,0.434841,0.13707,0.35314,28,0.043478
1003,1,"labour",19,0.030844,1481,644,203,523,0.434841,0.13707,0.35314,28,0.043478
1003,1,"left_alliance",1,0.001623,1481,644,203,523,0.434841,0.13707,0.35314,28,0.043478
1003,1,"mamuli_ena",0,0,1481,644,203,523,0.434841,0.13707,0.35314,28,0.043478
1003,1,"mechiauri",0,0,1481,644,203,523,0.434841,0.13707,0.35314,28,0.043478
1003,1,"national_democrats",0,0,1481,644,203,523,0.434841,0.13707,0.35314,28,0.043478
1003,1,"new_christian_democrats",0,0,1481,644,203,523,0.434841,0.13707,0.35314,28,0.043478
1003,1,"patriots",27,0.043831,1481,644,203,523,0.434841,0.13707,0.35314,28,0.043478
1003,1,"peoples_unity_2017",1,0.001623,1481,644,203,523,0.434841,0.13707,0.35314,28,0.043478
1003,1,"progressive_democratic_2017",4,0.006494,1481,644,203,523,0.434841,0.13707,0.35314,28,0.043478
1003,1,"republicans_2016",14,0.022727,1481,644,203,523,0.434841,0.13707,0.35314,28,0.043478
1003,1,"traditionalists",0,0,1481,644,203,523,0.434841,0.13707,0.35314,28,0.043478
1003,1,"unity_development",0,0,1481,644,203,523,0.434841,0.13707,0.35314,28,0.043478
1003,1,"unm",134,0.217532,1481,644,203,523,0.434841,0.13707,0.35314,28,0.043478
1003,1,"vashadze_2017",21,0.034091,1481,644,203,523,0.434841,0.13707,0.35314,28,0.043478
1003,1,"workers_socialist",1,0.001623,1481,644,203,523,0.434841,0.13707,0.35314,28,0.043478
1003,1,"zviads_way",1,0.001623,1481,644,203,523,0.434841,0.13707,0.35314,28,0.043478
1004,1,"burchuladze",0,0,1183,502,162,407,0.424345,0.13694,0.344041,41,0.081673
1004,1,"burjanadze_democratic",19,0.041215,1183,502,162,407,0.424345,0.13694,0.344041,41,0.081673
1004,1,"communist_stalinist",0,0,1183,502,162,407,0.424345,0.13694,0.344041,41,0.081673
1004,1,"construction_movement_2017",0,0,1183,502,162,407,0.424345,0.13694,0.344041,41,0.081673
1004,1,"european_georgia",37,0.08026,1183,502,162,407,0.424345,0.13694,0.344041,41,0.081673
1004,1,"freedom_gamsakhurdia",3,0.006508,1183,502,162,407,0.424345,0.13694,0.344041,41,0.081673
1004,1,"gd",252,0.546638,1183,502,162,407,0.424345,0.13694,0.344041,41,0.081673
1004,1,"georgia_2016",4,0.008677,1183,502,162,407,0.424345,0.13694,0.344041,41,0.081673
1004,1,"labour",15,0.032538,1183,502,162,407,0.424345,0.13694,0.344041,41,0.081673
1004,1,"left_alliance",2,0.004338,1183,502,162,407,0.424345,0.13694,0.344041,41,0.081673
1004,1,"mamuli_ena",0,0,1183,502,162,407,0.424345,0.13694,0.344041,41,0.081673
1004,1,"mechiauri",0,0,1183,502,162,407,0.424345,0.13694,0.344041,41,0.081673
1004,1,"national_democrats",0,0,1183,502,162,407,0.424345,0.13694,0.344041,41,0.081673
1004,1,"new_christian_democrats",0,0,1183,502,162,407,0.424345,0.13694,0.344041,41,0.081673
1004,1,"patriots",26,0.056399,1183,502,162,407,0.424345,0.13694,0.344041,41,0.081673
1004,1,"peoples_unity_2017",1,0.002169,1183,502,162,407,0.424345,0.13694,0.344041,41,0.081673
1004,1,"progressive_democratic_2017",1,0.002169,1183,502,162,407,0.424345,0.13694,0.344041,41,0.081673
1004,1,"republicans_2016",7,0.015184,1183,502,162,407,0.424345,0.13694,0.344041,41,0.081673
1004,1,"traditionalists",0,0,1183,502,162,407,0.424345,0.13694,0.344041,41,0.081673
1004,1,"unity_development",1,0.002169,1183,502,162,407,0.424345,0.13694,0.344041,41,0.081673
1004,1,"unm",76,0.164859,1183,502,162,407,0.424345,0.13694,0.344041,41,0.081673
1004,1,"vashadze_2017",15,0.032538,1183,502,162,407,0.424345,0.13694,0.344041,41,0.081673
1004,1,"workers_socialist",1,0.002169,1183,502,162,407,0.424345,0.13694,0.344041,41,0.081673
1004,1,"zviads_way",1,0.002169,1183,502,162,407,0.424345,0.13694,0.344041,41,0.081673
1005,1,"burchuladze",0,0,1507,576,165,437,0.382216,0.109489,0.28998,33,0.057292
1005,1,"burjanadze_democratic",29,0.053407,1507,576,165,437,0.382216,0.109489,0.28998,33,0.057292
1005,1,"communist_stalinist",0,0,1507,576,165,437,0.382216,0.109489,0.28998,33,0.057292
1005,1,"construction_movement_2017",0,0,1507,576,165,437,0.382216,0.109489,0.28998,33,0.057292
1005,1,"european_georgia",40,0.073665,1507,576,165,437,0.382216,0.109489,0.28998,33,0.057292
1005,1,"freedom_gamsakhurdia",3,0.005525,1507,576,165,437,0.382216,0.109489,0.28998,33,0.057292
1005,1,"gd",284,0.52302,1507,576,165,437,0.382216,0.109489,0.28998,33,0.057292
1005,1,"georgia_2016",4,0.007366,1507,576,165,437,0.382216,0.109489,0.28998,33,0.057292
1005,1,"labour",23,0.042357,1507,576,165,437,0.382216,0.109489,0.28998,33,0.057292
